,index,MEASDATE,ENGINETEMP,ENGINETEMP,ACURR,LOADFACTOR,PUMPINTAKEPRESSURE,LINEPRESSURE,WELLHEADPRESSURE,ANNULUSPRESSURE,WORKINGFREQ,FLOWRATE,VFM,ERROR
0,0,2021-06-30 15:00:01,0.0,0.0,22.1,80.0,0.0,10.16,11.339999,13.18,48.0,66.82,63.861332,2.9586680603027276
1,1,2021-07-01 00:00:03,0.0,0.0,22.1,80.0,0.0,10.16,11.339999,13.18,48.0,66.82,63.861332,2.9586680603027276
2,2,2021-07-01 05:00:01,0.0,0.0,22.0,80.0,0.0,9.3099999,9.6799999,14.030000000000001,48.0,66.82,65.13991,1.6800921630859307
3,3,2021-07-01 11:00:03,0.0,0.0,22.200001,81.0,0.0,9.6499997,10.979999999999999,15.919999999999998,48.0,66.82,65.67306,1.1469424438476494
4,4,2021-07-01 13:00:02,0.0,0.0,22.299999,81.0,0.0,9.4999999,10.549999,16.28,48.0,66.82,66.08038,0.7396166992187432
5,5,2021-07-01 14:00:03,0.0,0.0,22.4,83.0,0.0,9.1900003,10.290000000000001,16.950001,48.0,66.82,67.09401,-0.2740093994140693
6,6,2021-07-02 01:00:02,0.0,0.0,21.799999,78.0,0.0,9.150000200000001,10.61,9.95,48.0,69.120003,62.51192,6.608082071044919
7,7,2021-07-02 16:00:01,0.0,0.0,22.1,78.0,0.0,9.9599999,10.329999999999998,14.14,48.0,69.120003,64.264206,4.8557970673828095
8,8,2021-07-02 17:00:03,0.0,0.0,22.0,78.0,0.0,9.9599999,9.629999999999999,14.14,48.0,69.120003,64.483086,4.636917367675778
9,9,2021-07-02 18:00:03,0.0,0.0,22.1,78.0,0.0,8.5299999,9.5899999,14.14,48.0,69.120003,65.0936,4.026405587890622
10,10,2021-07-02 20:00:02,0.0,0.0,22.1,78.0,0.0,8.5299999,9.58,14.14,48.0,69.120003,65.097206,4.022796884277341
11,11,2021-07-03 00:00:02,0.0,0.0,22.1,84.0,0.0,9.95,11.59,13.430001,48.0,64.510002,64.890656,-0.38065351757812493
12,12,2021-07-03 08:00:02,0.0,0.0,22.0,84.0,0.0,7.8500003,8.500000199999999,7.7499998,48.0,71.41999799999999,64.26005,7.159950087402336
13,13,2021-07-03 09:00:03,0.0,0.0,21.799999,80.0,0.0,7.5599998,8.8499999,7.649999899999999,48.0,71.41999799999999,63.206947,8.213050673339836
14,14,2021-07-03 13:00:03,0.0,0.0,22.1,80.0,0.0,9.120000000000001,10.170000000000002,8.4600002,48.0,70.269997,62.5836,7.686397909423832
15,15,2021-07-03 14:00:02,0.0,0.0,22.200001,82.0,0.0,9.8400003,10.35,8.4600002,48.0,70.269997,62.734516,7.5354808562011755
16,16,2021-07-03 15:00:02,0.0,0.0,22.4,82.0,0.0,8.8099998,10.64,9.1600001,48.0,65.660004,63.412846,2.247158388427735
17,17,2021-07-03 16:00:03,0.0,0.0,22.200001,82.0,0.0,9.5599997,11.160001,9.1600001,48.0,69.120003,62.86285,6.257152810791013
18,18,2021-07-04 06:00:02,0.0,0.0,21.799999,80.0,0.0,7.990000200000001,9.1399997,13.869999999999997,48.0,67.970001,65.71196,2.258041161132809
